edge_id,way_id,name,lat,lon,start_node,end_node
-1008268815#0,1008268815,Phố Đặng Thùy Trâm,21.0454152,105.7843232,cluster_10248825759_5701326811,10241816541
-1008268815#1,1008268815,Phố Đặng Thùy Trâm,21.0457272,105.784325,cluster_10249211187_9301760717,cluster_10248825759_5701326811
-1008268819#4,1008268819,Phố Đặng Thùy Trâm,21.0450939,105.7843458,9295064330,9295064337
-1008268819#5,1008268819,Phố Đặng Thùy Trâm,21.0451524,105.7843553,cluster_10222594116_10222624917,9295064330
-1008268819#6,1008268819,Phố Đặng Thùy Trâm,21.0452148,105.7843531,9301860892,cluster_10222594116_10222624917
-1008268819#7,1008268819,Phố Đặng Thùy Trâm,21.0452608,105.7843517,10241816541,9301860892
-1016029704#1,1016029704,Ngõ 56 Trương Công Giai,21.0325282,105.7899055,cluster_10233068630_5717110598,cluster_10233068632_10233068659_10233068744_1691398113
-1016029704#2,1016029704,Ngõ 56 Trương Công Giai,21.0326015,105.7895427,10233068609,cluster_10233068630_5717110598
-1016029704#3,1016029704,Ngõ 56 Trương Công Giai,21.0326363,105.789374,cluster_10233068591_1692597083,10233068609
-1020811161#0,1020811161,Phố Trương Công Giai,21.02791,105.7892049,10230902604,1692597084
-1020811161#1,1020811161,Phố Trương Công Giai,21.027823,105.7890419,cluster_12337414880_12337414882,10230902604
-1020811161#2,1020811161,Phố Trương Công Giai,21.027657,105.7887306,cluster_10230902602_2185743321,cluster_12337414880_12337414882
-1020811161#3,1020811161,Phố Trương Công Giai,21.0275445,105.788521,cluster_12337414877_12337414881,cluster_10230902602_2185743321
-1020811161#4,1020811161,Phố Trương Công Giai,21.0274364,105.7883138,10225965935,cluster_12337414877_12337414881
-106049739#0,106049739,Phố Hoàng Quán Chi,21.0290863,105.7929613,11167471337,1691398078
-106049739#1,106049739,Phố Hoàng Quán Chi,21.0285503,105.7927286,1219243645,11167471337
-106049739#2,106049739,Phố Hoàng Quán Chi,21.0278598,105.7924282,cluster_10230902632_10230902635,1219243645
-1119291005#0,1119291005,Ngõ 6 Phố Trần Quốc Hoàn,21.0417163,105.7871141,10248819817,cluster_11572142325_1745050280
-1119291005#1,1119291005,Ngõ 6 Phố Trần Quốc Hoàn,21.0417605,105.7871138,11556785876,10248819817
-1119291005#2,1119291005,Ngõ 6 Phố Trần Quốc Hoàn,21.0419088,105.7871129,cluster_11556647955_1745050418,11556785876
-1119291005#4,1119291005,Ngõ 6 Phố Trần Quốc Hoàn,21.0421675,105.786997,cluster_11556699525_1745050227,cluster_11556647955_1745050418
-1119584048#5,1119584048,Ngõ 133 Nguyễn Phong Sắc,21.0436077,105.788856,11559330589,11559330598
-1120555120#4,1120555120,Ngõ 1 Phạm Tuấn Tài,21.0426465,105.7846706,cluster_11556232676_5703641495,cluster_1748197997_8340558475
-1120555120#6,1120555120,Ngõ 1 Phạm Tuấn Tài,21.0428381,105.784248,1748197981,cluster_11556232676_5703641495
-1120555120#7,1120555120,Ngõ 1 Phạm Tuấn Tài,21.0433489,105.7841435,1748197993,1748197981
-1120555120#8,1120555120,Ngõ 1 Phạm Tuấn Tài,21.0435713,105.7841451,5701326804,1748197993
-1148378821#1,1148378821,Phố Phan Văn Trường,21.0414546,105.7861806,1745050356,cluster_10280208118_311718514
-1148378821#2,1148378821,Phố Phan Văn Trường,21.0411726,105.7861717,1745050222,1745050356
-1148378821#3,1148378821,Phố Phan Văn Trường,21.0409386,105.7861641,1745050362,1745050222
-1148378821#4,1148378821,Phố Phan Văn Trường,21.0407175,105.7861571,1745050231,1745050362
-1148378821#5,1148378821,Phố Phan Văn Trường,21.0404977,105.7861469,8420588265,1745050231
-1148378821#6,1148378821,Phố Phan Văn Trường,21.0402608,105.7861366,10223784241,8420588265
-1148378821#7,1148378821,Phố Phan Văn Trường,21.0401023,105.7861308,5707037500,10223784241
-1148378821#8,1148378821,Phố Phan Văn Trường,21.0397998,105.7861199,10223784246,5707037500
-1148378821#9,1148378821,Phố Phan Văn Trường,21.0393509,105.7861036,10220846270,10223784246
-1165027531#1,1165027531,Phố Quan Hoa,21.0350112,105.8046905,10304025896,cluster_10304025894_10304029822
-1165027531#2,1165027531,Phố Quan Hoa,21.0356218,105.8051493,11027079219,10304025896
-1165027531#5,1165027531,Phố Quan Hoa,21.0391888,105.8060969,445255442,5707776100
-1187539399#5,1187539399,Ngõ 10 Đường Nguyễn Văn Huyên,21.0376487,105.7958663,cluster_13072013441_13072013444,cluster_11245117648_12989006355
-1213231865#1,1213231865,Ngõ 2 Hoàng Sâm,21.0421811,105.7991832,11240561490,cluster_11240561489_11240561491
-1226379263,1226379263,Phố Chùa Hà,21.0389827,105.7947377,317129361,5707249860
-1226381524#0,1226381524,Phố Trần Quý Kiên,21.0385806,105.7918561,10304262646,444250180
-1226381524#1,1226381524,Phố Trần Quý Kiên,21.0389268,105.791849,2302148184,10304262646
-1226389487,1226389487,Phố Thọ Tháp,21.0305729,105.793095,1691398168,1691398176
-1238802571#0,1238802571,Ngõ 68 Đường Cầu Giấy,21.0328237,105.801986,6743235673,1691398058
-1238802571#1,1238802571,Ngõ 68 Đường Cầu Giấy,21.0326722,105.8018592,10722958700,6743235673
-1238802571#2,1238802571,Ngõ 68 Đường Cầu Giấy,21.0324783,105.8016967,1691398060,10722958700
-1238802571#4,1238802571,Ngõ 68 Đường Cầu Giấy,21.0318865,105.801272,1691398089,1691398077
-1244623816,1244623816,Ngõ 3 Phạm Tuấn Tài,21.0439312,105.7842962,5701326819,5701326804
-1254507006#0,1254507006,Ngõ 66 Dịch Vọng Hậu,21.0312255,105.7859743,11652146939,1707941857
-1254507006#1,1254507006,Ngõ 66 Dịch Vọng Hậu,21.0313002,105.7855049,cluster_11397893965_5719132633,11652146939
-1254507006#3,1254507006,Ngõ 66 Dịch Vọng Hậu,21.0313373,105.7852817,1707941852,cluster_11397893965_5719132633
-1254507006#4,1254507006,Ngõ 66 Dịch Vọng Hậu,21.0315249,105.7850025,5430736847,1707941852
-1254507006#5,1254507006,Ngõ 66 Dịch Vọng Hậu,21.0318532,105.7846439,5430736850,5430736847
